Тамамланыуы: 1227 йыл, 18 август
	Башҡа титулдары: хан, ҡаған
	Вариҫы: Удегей
	Тыуған ваҡыты: 1162 тирәһе
	Тыуған урыны: Бурхан Халдун тауы, Монголия
	Үлем ваҡыты: 1227 йыл, 18 август
	Ҡатыны: Борте
	Хулан
	Есуген
	Есуй
	һ.б.
	Балалары: Жуси
	Сығатай
	Удегей
	Тулуй
	һ.б.
	Династия: Боржигин
	Атаһы: Есугей
	Әсәһе: Оэлун

	Сыңғыҙхан (монгол телендә — Чингиз хаан, үҙ исеме — Темуджин; 1162 йылдар тирәһе — 1227 йылдың 18 авгусы) — донъя тарихында иң ҙур империя — Монгол империяһын нигеҙләүсе.

	Темуджин төньяҡ-көнсығыш Азияның күсмә ҡәбиләләрен берләштереп, Сыңғыҙхан исемен алғандан һуң, сит илдәрҙе баҫып алыу сәйәсәтен башлай.  Хаким итә башлауы: 1206 йыл Уның атаһы Есугей — тайчиут ҡәбиләһе нойондарының береһе — һәм әсәһе Оэлундың тәүге улдары була.
	Ғаиләһе

	Темуджиндың атаһы яғынан туғандары — Хабул хан, Амбахай, Хотол хан — монгол ҡәбиләһенең хандары була.  Хәрәзм

	Сыңғыҙхандың үҙенең, ғәскәр башлыҡтарының һәм улдарының етәкселеге аҫтында монгол ғәскәре Тянь-Шань тауҙары аша үтеп, Хәрәзм ерҙәренә керә.  Әммә Хәрәзмдең Отрар ҡалаһы башлығы Иналха хан ҡарауанды Хәрәзмгә ҡаршы мәғлүмәт йыйырға иҫәп тотҡан монгол кешеләре тип, уға һөжүм итә.  Найман ғәскәрҙәре, Темуджинды эҙәрлекләү урынына, Ван-Ханға ябырыла.  Хәҙер рус кенәздәре солох тәҡдим итә.  Тарихты беләһеңме? Сыңғыҙхан Хәрәзм менән иҡтисади бәйләнеш тотоуҙы хуп күреп, империяға 500 кешелек каруан ебәрә.  Тоорил үҙенең ҡәбиләһенән 20 000 һуғышсы йыя һәм шулай уҡ Темуджиндың баласаҡ дуҫы — андаһы, был ваҡытҡа джарджират ҡәбиләһенең ханына әйләнгән Джамуханы саҡыра.  Сыңғыҙхан 1209 йылда Көнбайыш Си Сяны баҫып ала.
	Цзинь династияһы

	1211 йылда Сыңғыҙхан Цзинь династияһын буйһондорорға ниәтләй.  Сүбәдәй славяндарға солох тәҡдим итеп, илселәр ебәрә, әммә илселәр үлтерелә.  Был андаларҙың аралары боҙолоуына сәбәпсе була.

	Джамуха менән Темуджиндың тәүге бәрелешенә Джамуханың ҡустыһы Тайчарҙың ултерелеүе һылтау була.  Кем ул Сыңғыҙхан? Шаһ үҙе ҡалаһынан ҡаса һәм билдәһеҙ сәбәптәр менән, империяһындағы кескәй генә утрауҙа үлә.

	Монголдарҙың был яуы уғата ҡырағай алып барыла.  Темуджиндың муйынына баш өсөн урын ҡалдырып, ике таҡтаны ҡуша бәйләп кейҙерәләр.  Был ваҡытта Джамуханың ҡайһы бер нүкәрҙәре лә Темуджинға ҡушыла.  Меркеттәргә ҡаршы яуҙан һуң Джамуха менән Темуджин берҙәм урҙала йәшәй башлай, әммә оҙаҡ та тормай, Темуджин үҙенең нүкәрҙәре менән айырылып китә.  Л. Н. Гумилев фекеренсә «монгол-башҡорт һуғышы 14 йыл дауам итә… Башҡорттар байтаҡ һуғыштарҙы еңеп сыға, һәм ниһайәт дуҫлыҡ һәм берҙәмлек килешеүе төҙөп, артабан монголдар яуына ҡушылып китә»[1].  Сөнки Иртыш—Урал—Волга буйында төплөнгән, күп һанлы башҡорт ырыуҙарынан торған Башҡорт иле Алтын Урҙаға үҙ ирке менән дә һәм көс ҡулланып, баҫып алынып та ҡушылған.  Тоорил Темуджиндың сәйәсәтен күптән ҡабул итмәй килгән Джамуха менән берләшә.  Был яу ваҡытында Темуджин уҡ менән яралана.  Темуджин үҙенең Ҡытай хакимдарынан алған титулын бер тапҡыр ҙа ҡулланмай, Тоорил иһә был яуҙан һуң Ван-Хан исемен йөрөтә.

	1197—1198 йылдарҙа Тоорил менән Темуджиндың аралары боҙола башлай.  Кучулук тағы ҡаса, әммә Джебенең ғәсҡәре уны ҡыуып етә һәм үлтерә.  Монгол тарих китабы буйынса, ул ҡулында ҡан төйөрө менән тыуа, был уның киләсәктә ҙур юлбашсы булыуына ишара була.  Шуларҙың береһе буйынса башҡорт иле монголдар тарафынан 1136—1242 йылдар араһында баҫып алынған.  Ул кирәй ханлығы үҙенә түгел, Темуджинға бирелеүенән ҡурҡып, атаһын Темуджинға ҡаршы көйләй.  Оҙон юлдан йонсоған монголдар оло ғәскәргә ҡаршы тороу урынына, Хәрәзмдең кесе өлөштәргә бүлгеләнгән ғәсҡәрен берәмләп тар-мар итә.  Есугейҙың ырыуы йәш ырыу башлығының хакимлығын таныуҙан баш тарта, уларҙың малын ҡыуып, ғаиләһен ташлап китә.  Был һуғыштан һуң кирәй ҡәбиләһе тулыһынса тар-мар ителеп, юҡҡа сыға.

	Артабан Темуджинға найман ҡәбиләһенән ҡурҡыныс янай — Джамуха һәм уның яҡлылары уларҙан яҡлау таба.  Әммә Темуджин һаҡсыһы, Чилаундың (һуңынан ул Сыңғыҙхандың ғәскәр башлыҡтарының береһе булып китә) атаһы ярҙамы менән, байрам ваҡытында ҡоллоҡтан ҡаса, үҙен ҡыуып килгән һыбайлыларҙан йылғала ҡаялар аҫтында йәшенеп ҡала.

	Шул йылдарҙа Сыңғыҙхандың буласаҡ тоғро дуҫтары Джелме һәм Боорчу уға ҡушыла.
	Берләштереү сәйәсәте

	Урта Азия халҡы Темуджин йәшәгән осорҙа бер нисә ҡәбиләгә бүлгеләнгән була.  Шулай итеп, Тоорил еңелә, ә Джамуха ҡасып өлгөрә.  Бортеның улы Жуси тыуғандан һуң, уның атаһы Темуджин булыуында күптәр, шул иҫәптән Темуджин үҙе лә шикләнә.  Әммә үҙ-ара килешә алмау сәбәпле, ғәскәр тағы бүленә һәм улар, тар-мар ителеп, Бохараға тағы ҡасырға мәжбүр була.  Үҙ ғүмере эсендә ул Азияның күпселек өлөшөн баҫып алыуға өлгәшә.
